"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"insight:Observation_Information:1       ","Class","Observation_Information","1.0.0.0","insight","The Observation_Information class provides information about a science observation.","geo","","","","","","","","","","",""
"insight:Observation_Information:2        insight:release_number:1                ","Attribute","release_number","n/a","insight","Release_number is the number of a scheduled release of InSight data from PDS. The first Insight data release is Release 1a. The release_number for a given product is always the first release in which it appears, and does not change if the product is revised later.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","5","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Observation_Information:2        insight:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","insight","The mission_phase_name identifies a time period within the mission.","geo","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Observation_Information:2        insight:mission_phase_name:2             Value:ATLO","Value","ATLO","","","The ATLO mission phase (Assembly, Test, and Launch Operations) is the time of spacecraft and instrument assembly and test. During this phase data products are generated using flight hardware. They are usually not part of the final PDS archive but may be used for testing and peer review. "
"insight:Observation_Information:2        insight:mission_phase_name:2             Value:CRUISE","Value","CRUISE","","","The cruise mission phase is from the time of escape from Earth's orbit through the time of entry into Mars' orbit. Some data products may be generated during this time, including instrument checkout data."
"insight:Observation_Information:2        insight:mission_phase_name:2             Value:DEVELOPMENT","Value","DEVELOPMENT","","","The development mission phase refers to the period of data processing software development and testing, before instruments are integrated with the spacecraft. Data products generated during this phase are usually not part of the final PDS archive but may be used for testing and peer review."
"insight:Observation_Information:2        insight:mission_phase_name:2             Value:SURFACE MISSION","Value","SURFACE MISSION","","","The surface mission phase is the time from arrival at Mars through the end of surface operations, including the primary mission and any extended missions that may take place."
"insight:Observation_Information:2        insight:mission_phase_name:2             Value:TEST","Value","TEST","","","The test mission phase is not a time period but a placeholder for the mission_phase_name value, used for data products generating during all project tests such as ORTs, SVTs and thread tests. Data products generated in this way are usually not part of the final PDS archive but may be used for testing and peer review."
"insight:Observation_Information:2        insight:product_type:1                  ","Attribute","product_type","n/a","insight","The product_type identifies a group of data products within a collection that have some property in common, such as processing level, resolution, or instrument-specific setting. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"insight:Observation_Information:2        insight:product_type:2                   Value:ARK","Value","ARK","","","Insight Camera data. Arm Reachability Mask"
"insight:Observation_Information:2        insight:product_type:2                   Value:ARM","Value","ARM","","","Insight Camera data. Arm Reachability"
"insight:Observation_Information:2        insight:product_type:2                   Value:ARO","Value","ARO","","","Insight Camera data. Arm Reachability with overlay"
"insight:Observation_Information:2        insight:product_type:2                   Value:BAY","Value","BAY","","","Insight Camera data. Bayer pattern (identical to EDR except for Bayer pattern extract)"
